CreationTime          LastWriteTime         FullName
8/2/2026 9:24:14 PM   8/2/2026 9:24:14 PM   C:\MGU\library\reference\fact-sheets\government-programs\supplemental-nu...
8/2/2026 9:25:07 PM   8/2/2026 9:25:08 PM   C:\MGU\library\reference\fact-sheets\government-programs\community-healt...
8/2/2026 9:30:56 PM   8/2/2026 9:30:58 PM   C:\MGU\library\reference\fact-sheets\government-programs\empowerment-zon...
8/2/2026 9:31:37 PM   8/2/2026 9:31:38 PM   C:\MGU\library\reference\fact-sheets\government-programs\tennessee-valle...
8/2/2026 9:31:55 PM   8/2/2026 9:31:56 PM   C:\MGU\library\reference\fact-sheets\government-programs\aid-to-families...
8/2/2026 9:32:00 PM   8/2/2026 9:32:01 PM   C:\MGU\library\reference\fact-sheets\government-programs\title-x-family-...
8/2/2026 9:39:30 PM   8/2/2026 9:39:32 PM   C:\MGU\library\reference\fact-sheets\government-programs\home-owners-loa...
8/2/2026 9:42:29 PM   8/2/2026 9:42:30 PM   C:\MGU\library\reference\fact-sheets\government-programs\opportunity-zon...
8/2/2026 9:43:20 PM   8/2/2026 9:43:21 PM   C:\MGU\library\reference\fact-sheets\government-programs\maternal-and-ch...
8/2/2026 9:45:49 PM   8/2/2026 9:45:50 PM   C:\MGU\library\reference\fact-sheets\government-programs\temporary-assis...
8/2/2026 9:48:30 PM   8/2/2026 9:48:32 PM   C:\MGU\library\reference\fact-sheets\government-programs\federal-housing...
8/2/2026 9:52:07 PM   8/2/2026 9:52:11 PM   C:\MGU\library\reference\fact-sheets\government-programs\food-stamp-prog...
8/2/2026 9:58:14 PM   8/2/2026 9:58:15 PM   C:\MGU\library\reference\fact-sheets\government-programs\national-school...
8/2/2026 9:58:28 PM   8/2/2026 9:58:31 PM   C:\MGU\library\reference\fact-sheets\government-programs\united-states-h...
8/2/2026 10:02:16 PM  8/2/2026 10:02:18 PM  C:\MGU\library\reference\fact-sheets\government-programs\supplemental-se...
8/2/2026 10:10:27 PM  8/2/2026 10:10:29 PM  C:\MGU\library\reference\fact-sheets\government-programs\affordable-care...
8/2/2026 10:12:09 PM  8/2/2026 10:12:11 PM  C:\MGU\library\reference\fact-sheets\government-programs\school-breakfas...
8/2/2026 10:20:34 PM  8/2/2026 10:20:37 PM  C:\MGU\library\reference\fact-sheets\government-programs\low-income-home...
8/2/2026 10:20:57 PM  8/2/2026 10:20:58 PM  C:\MGU\library\reference\fact-sheets\government-programs\sba-8a-business...
8/2/2026 10:21:19 PM  8/2/2026 10:21:20 PM  C:\MGU\library\reference\fact-sheets\government-programs\medicaid-expans...
8/2/2026 10:22:34 PM  8/2/2026 10:22:36 PM  C:\MGU\library\reference\fact-sheets\government-programs\title-i-educati...
8/2/2026 10:27:57 PM  8/2/2026 10:27:59 PM  C:\MGU\library\reference\fact-sheets\government-programs\federal-surplus...
8/2/2026 10:30:25 PM  8/2/2026 10:30:26 PM  C:\MGU\library\reference\fact-sheets\government-programs\tuskegee-syphil...
